"Client","Project","Service Request","Sample","Lab Code","Sample Type","Date Collected","Date Received","Date Extracted","Date Analyzed","Extraction Method","Method","Matrix","Basis","Units","Component","Dilution Factor","Reporting Limit","Detection Limit","Result","Result Notes","Spike Concentration","Percent Recovery","Acceptance Limits","Average","RPD","Retention Time","Regulatory Limit"
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 30-FUNNY RIVER","K2405043-014","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","1.8","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 31-MORGAN'S LANDING","K2405043-015","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","12300","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 31-MORGAN'S LANDING","K2405043-015","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.69","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 31-MORGAN'S LANDING","K2405043-015","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","392","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 31-MORGAN'S LANDING","K2405043-015","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","1490","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 31-MORGAN'S LANDING","K2405043-015","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","1.6","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 36-MOOSE RIVER","K2405043-016","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","13900","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 36-MOOSE RIVER","K2405043-016","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.32","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 36-MOOSE RIVER","K2405043-016","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","706","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 36-MOOSE RIVER","K2405043-016","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","2510","=","","","","","","",""
